[2020/05/07 17:06:47][CONFIG][initService]  Starting service...
[2020/05/07 17:07:05][INFO][userInDb]  Query for looking for user: com.mysql.cj.jdbc.ClientPreparedStatement: SELECT JSON_OBJECT('user_id',user_id,'email',email,'status',status,'plevel',plevel,'salt',salt,'pword',pword) as UserFound FROM user WHERE email LIKE 'fakeluisae08@uci.edu';
[2020/05/07 17:07:08][INFO][modelMapper]  Mapping object from Json String; no Response Model was given.
[2020/05/07 17:07:08][INFO][modelMapper]  JSON String: {"salt": "c47de7a8", "email": "fakeluisae08@uci.edu", "pword": "c3e757e7a8838259aa4fefa438eb3514af7acd94b54001a51d95e177499d3369755f9472f733ccd14c1f6dcc27b0799fdcd306aeccb6ceaad83c8e4b6d6e9a10", "plevel": 5, "status": 1, "user_id": 24}
[2020/05/07 17:07:10][INFO][buildResponse]  Response being built with Result: LOGGED_IN_SUCCESSFULLY
[2020/05/07 17:07:11][INFO][session]  Entering Session Endpoint
[2020/05/07 17:07:11][INFO][modelMapper]  Mapping object from Json String and Response Model was given
[2020/05/07 17:07:11][INFO][modelMapper]  JSON String: {"email":"fakeluisae08@uci.edu","session_id":"d1f37fbf45347d3a3a451aa91b85172506649ff6506f4ff269384164c07fa0763eab69c66188c9da9cf0f68b879e63f4feffe83ec01ea384b0597fa4a276046f"}
[2020/05/07 17:07:11][INFO][eInvalidFormat]  fakeluisae08@uci.edu
[2020/05/07 17:07:11][INFO][session]  Exiting Session Endpoint Normally
[2020/05/07 17:07:11][INFO][SessionHandler]  Inside SessionHandler
[2020/05/07 17:07:11][INFO][userInDb]  Query for looking for user: com.mysql.cj.jdbc.ClientPreparedStatement: SELECT JSON_OBJECT('user_id',user_id,'email',email,'status',status,'plevel',plevel,'salt',salt,'pword',pword) as UserFound FROM user WHERE email LIKE 'fakeluisae08@uci.edu';
[2020/05/07 17:07:11][INFO][modelMapper]  Mapping object from Json String; no Response Model was given.
[2020/05/07 17:07:11][INFO][modelMapper]  JSON String: {"salt": "c47de7a8", "email": "fakeluisae08@uci.edu", "pword": "c3e757e7a8838259aa4fefa438eb3514af7acd94b54001a51d95e177499d3369755f9472f733ccd14c1f6dcc27b0799fdcd306aeccb6ceaad83c8e4b6d6e9a10", "plevel": 5, "status": 1, "user_id": 24}
[2020/05/07 17:07:11][INFO][sessionInDb]  Query for checking if session is in the database: com.mysql.cj.jdbc.ClientPreparedStatement: SELECT JSON_OBJECT('session_id',session_id,'email',email,'status',status,'time_created',time_created,'last_used',last_used,'expr_time',expr_time)as SessionFound FROM session WHERE session_id = 'd1f37fbf45347d3a3a451aa91b85172506649ff6506f4ff269384164c07fa0763eab69c66188c9da9cf0f68b879e63f4feffe83ec01ea384b0597fa4a276046f';
[2020/05/07 17:07:11][INFO][modelMapper]  Mapping object from Json String; no Response Model was given.
[2020/05/07 17:07:11][INFO][modelMapper]  JSON String: {"email": "fakeluisae08@uci.edu", "status": 1, "expr_time": "2020-05-07 18:07:10.000000", "last_used": "2020-05-07 17:07:10.000000", "session_id": "d1f37fbf45347d3a3a451aa91b85172506649ff6506f4ff269384164c07fa0763eab69c66188c9da9cf0f68b879e63f4feffe83ec01ea384b0597fa4a276046f", "time_created": "2020-05-07 17:07:10.000000"}
[2020/05/07 17:07:11][INFO][SessionHandler]  current: 2020-05-07 17:07:11.701
[2020/05/07 17:07:11][INFO][SessionHandler]  last_used: 2020-05-07 17:07:10.0
[2020/05/07 17:07:11][INFO][SessionHandler]  expired: 2020-05-07 18:07:10.0
[2020/05/07 17:07:11][INFO][buildResponse]  Response being built with Result: SESSION_ACTIVE
[2020/05/07 17:08:17][INFO][session]  Entering Session Endpoint
[2020/05/07 17:08:17][INFO][modelMapper]  Mapping object from Json String and Response Model was given
[2020/05/07 17:08:17][INFO][modelMapper]  JSON String: {"email":"fakeluisae08@uci.edu","session_id":"d1f37fbf45347d3a3a451aa91b85172506649ff6506f4ff269384164c07fa0763eab69c66188c9da9cf0f68b879e63f4feffe83ec01ea384b0597fa4a276046f"}
[2020/05/07 17:08:17][INFO][eInvalidFormat]  fakeluisae08@uci.edu
[2020/05/07 17:08:17][INFO][session]  Exiting Session Endpoint Normally
[2020/05/07 17:08:17][INFO][SessionHandler]  Inside SessionHandler
[2020/05/07 17:08:17][INFO][userInDb]  Query for looking for user: com.mysql.cj.jdbc.ClientPreparedStatement: SELECT JSON_OBJECT('user_id',user_id,'email',email,'status',status,'plevel',plevel,'salt',salt,'pword',pword) as UserFound FROM user WHERE email LIKE 'fakeluisae08@uci.edu';
[2020/05/07 17:08:17][INFO][modelMapper]  Mapping object from Json String; no Response Model was given.
[2020/05/07 17:08:17][INFO][modelMapper]  JSON String: {"salt": "c47de7a8", "email": "fakeluisae08@uci.edu", "pword": "c3e757e7a8838259aa4fefa438eb3514af7acd94b54001a51d95e177499d3369755f9472f733ccd14c1f6dcc27b0799fdcd306aeccb6ceaad83c8e4b6d6e9a10", "plevel": 5, "status": 1, "user_id": 24}
[2020/05/07 17:08:17][INFO][sessionInDb]  Query for checking if session is in the database: com.mysql.cj.jdbc.ClientPreparedStatement: SELECT JSON_OBJECT('session_id',session_id,'email',email,'status',status,'time_created',time_created,'last_used',last_used,'expr_time',expr_time)as SessionFound FROM session WHERE session_id = 'd1f37fbf45347d3a3a451aa91b85172506649ff6506f4ff269384164c07fa0763eab69c66188c9da9cf0f68b879e63f4feffe83ec01ea384b0597fa4a276046f';
[2020/05/07 17:08:17][INFO][modelMapper]  Mapping object from Json String; no Response Model was given.
[2020/05/07 17:08:17][INFO][modelMapper]  JSON String: {"email": "fakeluisae08@uci.edu", "status": 1, "expr_time": "2020-05-07 18:07:10.000000", "last_used": "2020-05-07 17:07:12.000000", "session_id": "d1f37fbf45347d3a3a451aa91b85172506649ff6506f4ff269384164c07fa0763eab69c66188c9da9cf0f68b879e63f4feffe83ec01ea384b0597fa4a276046f", "time_created": "2020-05-07 17:07:10.000000"}
[2020/05/07 17:08:17][INFO][SessionHandler]  current: 2020-05-07 17:08:17.45
[2020/05/07 17:08:17][INFO][SessionHandler]  last_used: 2020-05-07 17:07:12.0
[2020/05/07 17:08:17][INFO][SessionHandler]  expired: 2020-05-07 18:07:10.0
[2020/05/07 17:08:17][INFO][buildResponse]  Response being built with Result: SESSION_ACTIVE
[2020/05/07 17:08:35][INFO][session]  Entering Session Endpoint
[2020/05/07 17:08:35][INFO][modelMapper]  Mapping object from Json String and Response Model was given
[2020/05/07 17:08:35][INFO][modelMapper]  JSON String: {"email":"fakeluisae08@uci.edu","session_id":"d1f37fbf45347d3a3a451aa91b85172506649ff6506f4ff269384164c07fa0763eab69c66188c9da9cf0f68b879e63f4feffe83ec01ea384b0597fa4a276046f"}
[2020/05/07 17:08:35][INFO][eInvalidFormat]  fakeluisae08@uci.edu
[2020/05/07 17:08:35][INFO][session]  Exiting Session Endpoint Normally
[2020/05/07 17:08:35][INFO][SessionHandler]  Inside SessionHandler
[2020/05/07 17:08:35][INFO][userInDb]  Query for looking for user: com.mysql.cj.jdbc.ClientPreparedStatement: SELECT JSON_OBJECT('user_id',user_id,'email',email,'status',status,'plevel',plevel,'salt',salt,'pword',pword) as UserFound FROM user WHERE email LIKE 'fakeluisae08@uci.edu';
[2020/05/07 17:08:35][INFO][modelMapper]  Mapping object from Json String; no Response Model was given.
[2020/05/07 17:08:35][INFO][modelMapper]  JSON String: {"salt": "c47de7a8", "email": "fakeluisae08@uci.edu", "pword": "c3e757e7a8838259aa4fefa438eb3514af7acd94b54001a51d95e177499d3369755f9472f733ccd14c1f6dcc27b0799fdcd306aeccb6ceaad83c8e4b6d6e9a10", "plevel": 5, "status": 1, "user_id": 24}
[2020/05/07 17:08:35][INFO][sessionInDb]  Query for checking if session is in the database: com.mysql.cj.jdbc.ClientPreparedStatement: SELECT JSON_OBJECT('session_id',session_id,'email',email,'status',status,'time_created',time_created,'last_used',last_used,'expr_time',expr_time)as SessionFound FROM session WHERE session_id = 'd1f37fbf45347d3a3a451aa91b85172506649ff6506f4ff269384164c07fa0763eab69c66188c9da9cf0f68b879e63f4feffe83ec01ea384b0597fa4a276046f';
[2020/05/07 17:08:35][INFO][modelMapper]  Mapping object from Json String; no Response Model was given.
[2020/05/07 17:08:35][INFO][modelMapper]  JSON String: {"email": "fakeluisae08@uci.edu", "status": 1, "expr_time": "2020-05-07 18:07:10.000000", "last_used": "2020-05-07 17:08:17.000000", "session_id": "d1f37fbf45347d3a3a451aa91b85172506649ff6506f4ff269384164c07fa0763eab69c66188c9da9cf0f68b879e63f4feffe83ec01ea384b0597fa4a276046f", "time_created": "2020-05-07 17:07:10.000000"}
[2020/05/07 17:08:35][INFO][SessionHandler]  current: 2020-05-07 17:08:35.873
[2020/05/07 17:08:35][INFO][SessionHandler]  last_used: 2020-05-07 17:08:17.0
[2020/05/07 17:08:35][INFO][SessionHandler]  expired: 2020-05-07 18:07:10.0
[2020/05/07 17:08:35][INFO][buildResponse]  Response being built with Result: SESSION_ACTIVE
[2020/05/07 17:09:15][INFO][session]  Entering Session Endpoint
[2020/05/07 17:09:15][INFO][modelMapper]  Mapping object from Json String and Response Model was given
[2020/05/07 17:09:15][INFO][modelMapper]  JSON String: {"email":"fakeluisae08@uci.edu","session_id":"d1f37fbf45347d3a3a451aa91b85172506649ff6506f4ff269384164c07fa0763eab69c66188c9da9cf0f68b879e63f4feffe83ec01ea384b0597fa4a276046f"}
[2020/05/07 17:09:15][INFO][eInvalidFormat]  fakeluisae08@uci.edu
[2020/05/07 17:09:15][INFO][session]  Exiting Session Endpoint Normally
[2020/05/07 17:09:15][INFO][SessionHandler]  Inside SessionHandler
[2020/05/07 17:09:15][INFO][userInDb]  Query for looking for user: com.mysql.cj.jdbc.ClientPreparedStatement: SELECT JSON_OBJECT('user_id',user_id,'email',email,'status',status,'plevel',plevel,'salt',salt,'pword',pword) as UserFound FROM user WHERE email LIKE 'fakeluisae08@uci.edu';
[2020/05/07 17:09:15][INFO][modelMapper]  Mapping object from Json String; no Response Model was given.
[2020/05/07 17:09:15][INFO][modelMapper]  JSON String: {"salt": "c47de7a8", "email": "fakeluisae08@uci.edu", "pword": "c3e757e7a8838259aa4fefa438eb3514af7acd94b54001a51d95e177499d3369755f9472f733ccd14c1f6dcc27b0799fdcd306aeccb6ceaad83c8e4b6d6e9a10", "plevel": 5, "status": 1, "user_id": 24}
[2020/05/07 17:09:15][INFO][sessionInDb]  Query for checking if session is in the database: com.mysql.cj.jdbc.ClientPreparedStatement: SELECT JSON_OBJECT('session_id',session_id,'email',email,'status',status,'time_created',time_created,'last_used',last_used,'expr_time',expr_time)as SessionFound FROM session WHERE session_id = 'd1f37fbf45347d3a3a451aa91b85172506649ff6506f4ff269384164c07fa0763eab69c66188c9da9cf0f68b879e63f4feffe83ec01ea384b0597fa4a276046f';
[2020/05/07 17:09:15][INFO][modelMapper]  Mapping object from Json String; no Response Model was given.
[2020/05/07 17:09:15][INFO][modelMapper]  JSON String: {"email": "fakeluisae08@uci.edu", "status": 1, "expr_time": "2020-05-07 18:07:10.000000", "last_used": "2020-05-07 17:08:36.000000", "session_id": "d1f37fbf45347d3a3a451aa91b85172506649ff6506f4ff269384164c07fa0763eab69c66188c9da9cf0f68b879e63f4feffe83ec01ea384b0597fa4a276046f", "time_created": "2020-05-07 17:07:10.000000"}
[2020/05/07 17:09:15][INFO][SessionHandler]  current: 2020-05-07 17:09:15.867
[2020/05/07 17:09:15][INFO][SessionHandler]  last_used: 2020-05-07 17:08:36.0
[2020/05/07 17:09:15][INFO][SessionHandler]  expired: 2020-05-07 18:07:10.0
[2020/05/07 17:09:15][INFO][buildResponse]  Response being built with Result: SESSION_ACTIVE
[2020/05/07 17:09:16][INFO][privilege]  Entering Privilege Endpoint
[2020/05/07 17:09:16][INFO][modelMapper]  Mapping object from Json String and Response Model was given
[2020/05/07 17:09:16][INFO][modelMapper]  JSON String: {"email":"fakeluisae08@uci.edu","plevel":5}
[2020/05/07 17:09:16][INFO][eInvalidFormat]  fakeluisae08@uci.edu
[2020/05/07 17:09:16][INFO][privilege]  Exiting Privilege Endpoint Normally
[2020/05/07 17:09:16][INFO][PrivilegeHandler]  Inside PrivilegeHandler
[2020/05/07 17:09:16][INFO][userInDb]  Query for looking for user: com.mysql.cj.jdbc.ClientPreparedStatement: SELECT JSON_OBJECT('user_id',user_id,'email',email,'status',status,'plevel',plevel,'salt',salt,'pword',pword) as UserFound FROM user WHERE email LIKE 'fakeluisae08@uci.edu';
[2020/05/07 17:09:16][INFO][modelMapper]  Mapping object from Json String; no Response Model was given.
[2020/05/07 17:09:16][INFO][modelMapper]  JSON String: {"salt": "c47de7a8", "email": "fakeluisae08@uci.edu", "pword": "c3e757e7a8838259aa4fefa438eb3514af7acd94b54001a51d95e177499d3369755f9472f733ccd14c1f6dcc27b0799fdcd306aeccb6ceaad83c8e4b6d6e9a10", "plevel": 5, "status": 1, "user_id": 24}
[2020/05/07 17:09:16][INFO][buildResponse]  Response being built with Result: SUFFICIENT_PLEVEL
[2020/05/07 17:09:16][INFO][privilege]  Entering Privilege Endpoint
[2020/05/07 17:09:16][INFO][modelMapper]  Mapping object from Json String and Response Model was given
[2020/05/07 17:09:16][INFO][modelMapper]  JSON String: {"email":"fakeluisae08@uci.edu","plevel":4}
[2020/05/07 17:09:16][INFO][eInvalidFormat]  fakeluisae08@uci.edu
[2020/05/07 17:09:16][INFO][privilege]  Exiting Privilege Endpoint Normally
[2020/05/07 17:09:16][INFO][PrivilegeHandler]  Inside PrivilegeHandler
[2020/05/07 17:09:16][INFO][userInDb]  Query for looking for user: com.mysql.cj.jdbc.ClientPreparedStatement: SELECT JSON_OBJECT('user_id',user_id,'email',email,'status',status,'plevel',plevel,'salt',salt,'pword',pword) as UserFound FROM user WHERE email LIKE 'fakeluisae08@uci.edu';
[2020/05/07 17:09:16][INFO][modelMapper]  Mapping object from Json String; no Response Model was given.
[2020/05/07 17:09:16][INFO][modelMapper]  JSON String: {"salt": "c47de7a8", "email": "fakeluisae08@uci.edu", "pword": "c3e757e7a8838259aa4fefa438eb3514af7acd94b54001a51d95e177499d3369755f9472f733ccd14c1f6dcc27b0799fdcd306aeccb6ceaad83c8e4b6d6e9a10", "plevel": 5, "status": 1, "user_id": 24}
[2020/05/07 17:09:16][INFO][buildResponse]  Response being built with Result: INSUFFICIENT_PLEVEL
[2020/05/07 17:09:19][INFO][session]  Entering Session Endpoint
[2020/05/07 17:09:19][INFO][modelMapper]  Mapping object from Json String and Response Model was given
[2020/05/07 17:09:19][INFO][modelMapper]  JSON String: {"email":"fakeluisae08@uci.edu","session_id":"d1f37fbf45347d3a3a451aa91b85172506649ff6506f4ff269384164c07fa0763eab69c66188c9da9cf0f68b879e63f4feffe83ec01ea384b0597fa4a276046f"}
[2020/05/07 17:09:19][INFO][eInvalidFormat]  fakeluisae08@uci.edu
[2020/05/07 17:09:19][INFO][session]  Exiting Session Endpoint Normally
[2020/05/07 17:09:19][INFO][SessionHandler]  Inside SessionHandler
[2020/05/07 17:09:19][INFO][userInDb]  Query for looking for user: com.mysql.cj.jdbc.ClientPreparedStatement: SELECT JSON_OBJECT('user_id',user_id,'email',email,'status',status,'plevel',plevel,'salt',salt,'pword',pword) as UserFound FROM user WHERE email LIKE 'fakeluisae08@uci.edu';
[2020/05/07 17:09:19][INFO][modelMapper]  Mapping object from Json String; no Response Model was given.
[2020/05/07 17:09:19][INFO][modelMapper]  JSON String: {"salt": "c47de7a8", "email": "fakeluisae08@uci.edu", "pword": "c3e757e7a8838259aa4fefa438eb3514af7acd94b54001a51d95e177499d3369755f9472f733ccd14c1f6dcc27b0799fdcd306aeccb6ceaad83c8e4b6d6e9a10", "plevel": 5, "status": 1, "user_id": 24}
[2020/05/07 17:09:19][INFO][sessionInDb]  Query for checking if session is in the database: com.mysql.cj.jdbc.ClientPreparedStatement: SELECT JSON_OBJECT('session_id',session_id,'email',email,'status',status,'time_created',time_created,'last_used',last_used,'expr_time',expr_time)as SessionFound FROM session WHERE session_id = 'd1f37fbf45347d3a3a451aa91b85172506649ff6506f4ff269384164c07fa0763eab69c66188c9da9cf0f68b879e63f4feffe83ec01ea384b0597fa4a276046f';
[2020/05/07 17:09:19][INFO][modelMapper]  Mapping object from Json String; no Response Model was given.
[2020/05/07 17:09:19][INFO][modelMapper]  JSON String: {"email": "fakeluisae08@uci.edu", "status": 1, "expr_time": "2020-05-07 18:07:10.000000", "last_used": "2020-05-07 17:09:16.000000", "session_id": "d1f37fbf45347d3a3a451aa91b85172506649ff6506f4ff269384164c07fa0763eab69c66188c9da9cf0f68b879e63f4feffe83ec01ea384b0597fa4a276046f", "time_created": "2020-05-07 17:07:10.000000"}
[2020/05/07 17:09:19][INFO][SessionHandler]  current: 2020-05-07 17:09:19.33
[2020/05/07 17:09:19][INFO][SessionHandler]  last_used: 2020-05-07 17:09:16.0
[2020/05/07 17:09:19][INFO][SessionHandler]  expired: 2020-05-07 18:07:10.0
[2020/05/07 17:09:19][INFO][buildResponse]  Response being built with Result: SESSION_ACTIVE
[2020/05/07 17:09:19][INFO][privilege]  Entering Privilege Endpoint
[2020/05/07 17:09:19][INFO][modelMapper]  Mapping object from Json String and Response Model was given
[2020/05/07 17:09:19][INFO][modelMapper]  JSON String: {"email":"fakeluisae08@uci.edu","plevel":4}
[2020/05/07 17:09:19][INFO][eInvalidFormat]  fakeluisae08@uci.edu
[2020/05/07 17:09:19][INFO][privilege]  Exiting Privilege Endpoint Normally
[2020/05/07 17:09:19][INFO][PrivilegeHandler]  Inside PrivilegeHandler
[2020/05/07 17:09:19][INFO][userInDb]  Query for looking for user: com.mysql.cj.jdbc.ClientPreparedStatement: SELECT JSON_OBJECT('user_id',user_id,'email',email,'status',status,'plevel',plevel,'salt',salt,'pword',pword) as UserFound FROM user WHERE email LIKE 'fakeluisae08@uci.edu';
[2020/05/07 17:09:19][INFO][modelMapper]  Mapping object from Json String; no Response Model was given.
[2020/05/07 17:09:19][INFO][modelMapper]  JSON String: {"salt": "c47de7a8", "email": "fakeluisae08@uci.edu", "pword": "c3e757e7a8838259aa4fefa438eb3514af7acd94b54001a51d95e177499d3369755f9472f733ccd14c1f6dcc27b0799fdcd306aeccb6ceaad83c8e4b6d6e9a10", "plevel": 5, "status": 1, "user_id": 24}
[2020/05/07 17:09:19][INFO][buildResponse]  Response being built with Result: INSUFFICIENT_PLEVEL
[2020/05/07 17:09:28][INFO][session]  Entering Session Endpoint
[2020/05/07 17:09:28][INFO][modelMapper]  Mapping object from Json String and Response Model was given
[2020/05/07 17:09:28][INFO][modelMapper]  JSON String: {"email":"fakeluisae08@uci.edu","session_id":"d1f37fbf45347d3a3a451aa91b85172506649ff6506f4ff269384164c07fa0763eab69c66188c9da9cf0f68b879e63f4feffe83ec01ea384b0597fa4a276046f"}
[2020/05/07 17:09:28][INFO][eInvalidFormat]  fakeluisae08@uci.edu
[2020/05/07 17:09:28][INFO][session]  Exiting Session Endpoint Normally
[2020/05/07 17:09:28][INFO][SessionHandler]  Inside SessionHandler
[2020/05/07 17:09:28][INFO][userInDb]  Query for looking for user: com.mysql.cj.jdbc.ClientPreparedStatement: SELECT JSON_OBJECT('user_id',user_id,'email',email,'status',status,'plevel',plevel,'salt',salt,'pword',pword) as UserFound FROM user WHERE email LIKE 'fakeluisae08@uci.edu';
[2020/05/07 17:09:28][INFO][modelMapper]  Mapping object from Json String; no Response Model was given.
[2020/05/07 17:09:28][INFO][modelMapper]  JSON String: {"salt": "c47de7a8", "email": "fakeluisae08@uci.edu", "pword": "c3e757e7a8838259aa4fefa438eb3514af7acd94b54001a51d95e177499d3369755f9472f733ccd14c1f6dcc27b0799fdcd306aeccb6ceaad83c8e4b6d6e9a10", "plevel": 5, "status": 1, "user_id": 24}
[2020/05/07 17:09:28][INFO][sessionInDb]  Query for checking if session is in the database: com.mysql.cj.jdbc.ClientPreparedStatement: SELECT JSON_OBJECT('session_id',session_id,'email',email,'status',status,'time_created',time_created,'last_used',last_used,'expr_time',expr_time)as SessionFound FROM session WHERE session_id = 'd1f37fbf45347d3a3a451aa91b85172506649ff6506f4ff269384164c07fa0763eab69c66188c9da9cf0f68b879e63f4feffe83ec01ea384b0597fa4a276046f';
[2020/05/07 17:09:28][INFO][modelMapper]  Mapping object from Json String; no Response Model was given.
[2020/05/07 17:09:28][INFO][modelMapper]  JSON String: {"email": "fakeluisae08@uci.edu", "status": 1, "expr_time": "2020-05-07 18:07:10.000000", "last_used": "2020-05-07 17:09:19.000000", "session_id": "d1f37fbf45347d3a3a451aa91b85172506649ff6506f4ff269384164c07fa0763eab69c66188c9da9cf0f68b879e63f4feffe83ec01ea384b0597fa4a276046f", "time_created": "2020-05-07 17:07:10.000000"}
[2020/05/07 17:09:28][INFO][SessionHandler]  current: 2020-05-07 17:09:28.755
[2020/05/07 17:09:28][INFO][SessionHandler]  last_used: 2020-05-07 17:09:19.0
[2020/05/07 17:09:28][INFO][SessionHandler]  expired: 2020-05-07 18:07:10.0
[2020/05/07 17:09:28][INFO][buildResponse]  Response being built with Result: SESSION_ACTIVE
[2020/05/07 17:09:29][INFO][privilege]  Entering Privilege Endpoint
[2020/05/07 17:09:29][INFO][modelMapper]  Mapping object from Json String and Response Model was given
[2020/05/07 17:09:29][INFO][modelMapper]  JSON String: {"email":"fakeluisae08@uci.edu","plevel":4}
[2020/05/07 17:09:29][INFO][eInvalidFormat]  fakeluisae08@uci.edu
[2020/05/07 17:09:29][INFO][privilege]  Exiting Privilege Endpoint Normally
[2020/05/07 17:09:29][INFO][PrivilegeHandler]  Inside PrivilegeHandler
[2020/05/07 17:09:29][INFO][userInDb]  Query for looking for user: com.mysql.cj.jdbc.ClientPreparedStatement: SELECT JSON_OBJECT('user_id',user_id,'email',email,'status',status,'plevel',plevel,'salt',salt,'pword',pword) as UserFound FROM user WHERE email LIKE 'fakeluisae08@uci.edu';
[2020/05/07 17:09:29][INFO][modelMapper]  Mapping object from Json String; no Response Model was given.
[2020/05/07 17:09:29][INFO][modelMapper]  JSON String: {"salt": "c47de7a8", "email": "fakeluisae08@uci.edu", "pword": "c3e757e7a8838259aa4fefa438eb3514af7acd94b54001a51d95e177499d3369755f9472f733ccd14c1f6dcc27b0799fdcd306aeccb6ceaad83c8e4b6d6e9a10", "plevel": 5, "status": 1, "user_id": 24}
[2020/05/07 17:09:29][INFO][buildResponse]  Response being built with Result: INSUFFICIENT_PLEVEL
[2020/05/07 17:10:09][INFO][session]  Entering Session Endpoint
[2020/05/07 17:10:09][INFO][modelMapper]  Mapping object from Json String and Response Model was given
[2020/05/07 17:10:09][INFO][modelMapper]  JSON String: {"email":"fakeluisae08@uci.edu","session_id":"d1f37fbf45347d3a3a451aa91b85172506649ff6506f4ff269384164c07fa0763eab69c66188c9da9cf0f68b879e63f4feffe83ec01ea384b0597fa4a276046f"}
[2020/05/07 17:10:09][INFO][eInvalidFormat]  fakeluisae08@uci.edu
[2020/05/07 17:10:09][INFO][session]  Exiting Session Endpoint Normally
[2020/05/07 17:10:09][INFO][SessionHandler]  Inside SessionHandler
[2020/05/07 17:10:09][INFO][userInDb]  Query for looking for user: com.mysql.cj.jdbc.ClientPreparedStatement: SELECT JSON_OBJECT('user_id',user_id,'email',email,'status',status,'plevel',plevel,'salt',salt,'pword',pword) as UserFound FROM user WHERE email LIKE 'fakeluisae08@uci.edu';
[2020/05/07 17:10:09][INFO][modelMapper]  Mapping object from Json String; no Response Model was given.
[2020/05/07 17:10:09][INFO][modelMapper]  JSON String: {"salt": "c47de7a8", "email": "fakeluisae08@uci.edu", "pword": "c3e757e7a8838259aa4fefa438eb3514af7acd94b54001a51d95e177499d3369755f9472f733ccd14c1f6dcc27b0799fdcd306aeccb6ceaad83c8e4b6d6e9a10", "plevel": 5, "status": 1, "user_id": 24}
[2020/05/07 17:10:09][INFO][sessionInDb]  Query for checking if session is in the database: com.mysql.cj.jdbc.ClientPreparedStatement: SELECT JSON_OBJECT('session_id',session_id,'email',email,'status',status,'time_created',time_created,'last_used',last_used,'expr_time',expr_time)as SessionFound FROM session WHERE session_id = 'd1f37fbf45347d3a3a451aa91b85172506649ff6506f4ff269384164c07fa0763eab69c66188c9da9cf0f68b879e63f4feffe83ec01ea384b0597fa4a276046f';
[2020/05/07 17:10:09][INFO][modelMapper]  Mapping object from Json String; no Response Model was given.
